seed,pair,ours_n,baseline_n,ours_low_score_rate,method_baseline_low_score_rate,delta_ours_minus_baseline,ours_mean_score,method_baseline_mean_score
11,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
11,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
11,ours_vs_random_sequence_matched_exact_task_names,98,103,0.3776,0.4272,-0.0496,6.9694,6.5922
22,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
22,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
22,ours_vs_random_sequence_matched_exact_task_names,0,99,,0.3737,,,6.7778
33,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
33,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
33,ours_vs_random_sequence_matched_exact_task_names,96,97,0.375,0.4021,-0.0271,6.9583,6.7526
44,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
44,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
44,ours_vs_random_sequence_matched_exact_task_names,0,94,,0.3936,,,6.7766
55,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
55,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
55,ours_vs_random_sequence_matched_exact_task_names,94,96,0.3723,0.4792,-0.1069,7.0106,6.2812
