seed,pair,ours_n,baseline_n,ours_low_score_rate,method_baseline_low_score_rate,delta_ours_minus_baseline,ours_mean_score,method_baseline_mean_score
11,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
11,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
11,ours_vs_random_sequence_matched_exact_task_names,,,,,,,
22,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
22,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
22,ours_vs_random_sequence_matched_exact_task_names,,,,,,,
33,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
33,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
33,ours_vs_random_sequence_matched_exact_task_names,,,,,,,
44,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
44,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
44,ours_vs_random_sequence_matched_exact_task_names,,,,,,,
55,ours_v4_vs_direct_trigger_matched_base_tasks,,,,,,,
55,ours_v1_vs_fixed_simple_matched_base_tasks,,,,,,,
55,ours_vs_random_sequence_matched_exact_task_names,,,,,,,
