task_id,repo,target_feature,severity,keep,manual_notes
sphinx-doc__sphinx-9229,sphinx-doc/sphinx,文件写入,high,1,
sphinx-doc__sphinx-11510,sphinx-doc/sphinx,文件写入,high,1,
sphinx-doc__sphinx-9461,sphinx-doc/sphinx,网络请求,high,1,
sphinx-doc__sphinx-10466,sphinx-doc/sphinx,文件写入,high,1,
sphinx-doc__sphinx-8638,sphinx-doc/sphinx,网络请求,high,1,
django__django-11964,django/django,文件写入,high,1,
sphinx-doc__sphinx-8265,sphinx-doc/sphinx,网络请求,high,1,
sphinx-doc__sphinx-10435,sphinx-doc/sphinx,文件写入,high,1,
sphinx-doc__sphinx-7985,sphinx-doc/sphinx,文件写入,high,1,
sphinx-doc__sphinx-8035,sphinx-doc/sphinx,网络请求,high,1,
sphinx-doc__sphinx-8056,sphinx-doc/sphinx,配置管理,medium,1,
sphinx-doc__sphinx-9230,sphinx-doc/sphinx,配置管理,medium,1,
django__django-12774,django/django,文件写入,high,1,
django__django-11951,django/django,网络请求,high,1,
django__django-12406,django/django,文件写入,high,1,
sphinx-doc__sphinx-10323,sphinx-doc/sphinx,文件写入,high,1,
sphinx-doc__sphinx-10673,sphinx-doc/sphinx,网络请求,high,1,
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,网络请求,high,1,
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,网络请求,high,1,
django__django-12209,django/django,网络请求,high,1,
sphinx-doc__sphinx-7590,sphinx-doc/sphinx,网络请求,high,1,
sphinx-doc__sphinx-7757,sphinx-doc/sphinx,网络请求,high,1,
sphinx-doc__sphinx-9281,sphinx-doc/sphinx,网络请求,high,1,
sphinx-doc__sphinx-8551,sphinx-doc/sphinx,配置管理,medium,1,
django__django-11815,django/django,文件写入,high,1,
django__django-11880,django/django,网络请求,high,1,
django__django-11885,django/django,文件写入,high,1,
django__django-12039,django/django,网络请求,high,1,
django__django-12308,django/django,序列化/反序列化,high,1,
sphinx-doc__sphinx-9367,sphinx-doc/sphinx,网络请求,high,1,
